서비스 ID,서비스명,OPENAPI서비스명,요청주소,요청기본인자,기본샘플명,기본샘플주소,OPENAPI메타URL
OA-101,서울시 역코드로 지하철역별 열차 시간표 정보 검색,SearchSTNTimeTableByIDService,http://openAPI.seoul.go.kr:8088,"/인증키/요청타입(xml,xls,json)/SearchSTNTimeTableByIDService/요청위치(정수)/요청종료위치(정수)",지축 평일 상행,http://openAPI.seoul.go.kr:8088/sample/xml/SearchSTNTimeTableByIDService/1/5/0309/1/1/,https://data.seoul.go.kr/dataList/datasetView.do?serviceKind=1&currentPageNo=1&srvType=A&infId=OA-101
OA-10107,서울시 금천구 위생처리업 공중위생업소 현황,GeumcheonPublicHygieneBizTreatment,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonPublicHygieneBizTreatment/요청위치(정수)/요청종료위치(정수)",금천구 공중위생업소(위생처리업) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonPublicHygieneBizTreatment/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10107
OA-10108,서울시 금천구 세척제 제조업 공중위생업소 현황,GeumcheonPublicHygieneBizCleaningProducts,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonPublicHygieneBizCleaningProducts/요청위치(정수)/요청종료위치(정수)",금천구 공중위생업소(세척제제조업) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonPublicHygieneBizCleaningProducts/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10108
OA-10109,서울시 금천구 기타 위생용품 제조업 공중위생업소 현황,GeumcheonPublicHygieneBizEtcProducts,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonPublicHygieneBizEtcProducts/요청위치(정수)/요청종료위치(정수)",금천구 공중위생업소(기타위생용품제조업) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonPublicHygieneBizEtcProducts/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10109
OA-10116,서울시 금천구 청소년 유해업소 현황,GeumcheonJuvenileHarmfulBiz,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonJuvenileHarmfulBiz/요청위치(정수)/요청종료위치(정수)",2012년 10월 금천구 청소년유해업소현황 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonJuvenileHarmfulBiz/1/5/201210,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10116
OA-10122,서울시 금천구 식품위생업소 소재지별 운영 현황 (차트),GeumcheonFoodHygieneBizLocManageDong,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonFoodHygieneBizLocManageDong/요청위치(정수)/요청종료위치(정수)",금천구 식품위생업소 소재지별운영현황(법정동별) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonFoodHygieneBizLocManageDong/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10122
OA-10123,서울시 금천구 공중위생업소 소재지별 운영 현황 (차트),GeumcheonPublicHygieneBizLocManageDong,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonPublicHygieneBizLocManageDong/요청위치(정수)/요청종료위치(정수)",금천구 공중위생업소 소재지별운영현황(법정동별) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonPublicHygieneBizLocManageDong/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10123
OA-10124,서울시 금천구 환경 지도점검 내역 현황(2014년-2017년),GeumcheonListEnvGuideCheck,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonListEnvGuideCheck/요청위치(정수)/요청종료위치(정수)",금천구 환경 지도점검내역 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonListEnvGuideCheck/1/5,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10124
OA-10140,서울시 금천구 모범음식점 지정 현황,GeumcheonModelRestaurantDesignate,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonModelRestaurantDesignate/요청위치(정수)/요청종료위치(정수)",금천구 모범음식점(지정현황) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonModelRestaurantDesignate/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10140
OA-10142,서울시 금천구 식품위생업소 행정처분내역 현황,GeumcheonAdminMesureFood,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonAdminMesureFood/요청위치(정수)/요청종료위치(정수)",금천구 행정처분내역(식품) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonAdminMesureFood/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10142
OA-10143,서울시 금천구 공중위생업소 행정처분내역 현황,GeumcheonAdminMesurePublic,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonAdminMesurePublic/요청위치(정수)/요청종료위치(정수)",금천구 행정처분내역(공중) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonAdminMesurePublic/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10143
OA-10144,서울시 금천구 식품위생업소 소재지별 운영 현황,GeumcheonFoodHygieneBizLocManage,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonFoodHygieneBizLocManage/요청위치(정수)/요청종료위치(정수)",금천구 식품위생업소 소재지별운영현황 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonFoodHygieneBizLocManage/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10144
OA-10145,서울시 금천구 공중위생업소 소재지별 운영 현황,GeumcheonPublicHygieneBizLocManage,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonPublicHygieneBizLocManage/요청위치(정수)/요청종료위치(정수)",금천구 공중위생업소 소재지별운영현황 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonPublicHygieneBizLocManage/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10145
OA-10146,서울시 금천구 식품위생업소 식품수거검사 현황,GeumcheonFoodCollectCheckHygieneBiz,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonFoodCollectCheckHygieneBiz/요청위치(정수)/요청종료위치(정수)",금천구 식품수거검사(식품위생업소) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonFoodCollectCheckHygieneBiz/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10146
OA-10147,서울시 금천구 전체 식품수거검사 현황,GeumcheonFoodCollectCheck,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonFoodCollectCheck/요청위치(정수)/요청종료위치(정수)",금천구 식품수거검사(전체) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonFoodCollectCheck/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10147
OA-10148,서울시 금천구 위생업소 전체 행정처분내역 현황,GeumcheonAdminMesure,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonAdminMesure/요청위치(정수)/요청종료위치(정수)",금천구 행정처분내역(전체) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonAdminMesure/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10148
OA-10158,서울시 금천구 모범음식점 취소 현황,GeumcheonModelRestaurantCancel,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonModelRestaurantCancel/요청위치(정수)/요청종료위치(정수)",금천구 모범음식점(취소현황) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonModelRestaurantCancel/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10158
OA-10159,서울시 금천구 모범음식점 신청 현황,GeumcheonModelRestaurantApply,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonModelRestaurantApply/요청위치(정수)/요청종료위치(정수)",금천구 모범음식점(신청현황) 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonModelRestaurantApply/1/5/,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10159
